Precision	Recall
0.3173	0.9477
0.3643	0.9343
0.3643	0.9343
0.3977	0.925
0.4418	0.9078
0.4418	0.9078
0.4816	0.8902
0.4816	0.8902
0.517	0.8735
0.5375	0.863
0.5375	0.863
0.5586	0.8517
0.5586	0.8517
0.5712	0.8444
0.5889	0.831
0.5889	0.831
0.6118	0.8154
0.6118	0.8154
0.6251	0.8044
0.639	0.7905
0.639	0.7905
0.6443	0.7855
0.6638	0.7697
0.6638	0.7697
0.6693	0.7634
0.6693	0.7634
0.6751	0.7593
0.7	0.7356
0.7	0.7356
0.7129	0.7179
0.7129	0.7179
0.7156	0.7136
0.7196	0.7085
0.7196	0.7085
0.7218	0.7062
0.7218	0.7062
0.7261	0.6998
0.7594	0.6564
0.7594	0.6564
0.7783	0.6317
0.7839	0.6246
0.7839	0.6246
0.7873	0.6195
0.7873	0.6195
0.7882	0.6187
0.7896	0.6169
0.7896	0.617
0.791	0.6123
0.791	0.6123
0.7923	0.6082
0.7932	0.6066
0.7931	0.6066
0.7942	0.6053
0.7942	0.6053
0.7944	0.6036
0.7962	0.6024
0.7962	0.6024
0.7965	0.6019
0.7965	0.6019
0.7967	0.6016
0.7969	0.6013
0.7969	0.6013
0.797	0.6011
0.7986	0.6007
0.7986	0.6007
0.7991	0.6
0.7991	0.6
0.8004	0.599
0.8007	0.5988
0.8007	0.5988
0.8013	0.598
0.8013	0.598
0.8486	0.4869
0.8649	0.4588
0.8649	0.4588
0.8681	0.4526
0.8681	0.4526
0.8712	0.4413
0.8754	0.4353
0.8754	0.4353
0.8779	0.4335
0.8805	0.4267
0.8806	0.4267
0.8864	0.4171
0.8864	0.4171
0.8888	0.4098
0.8914	0.3992
0.8914	0.3992
0.8978	0.3787
0.8978	0.3787
0.8984	0.3683
0.9017	0.358
0.9017	0.358
0.9061	0.351
0.9061	0.351
0.9068	0.3343
0.9102	0.33
0.9101	0.33
1	0
