Precision	Recall
0.2239	0.9901
0.2851	0.9816
0.337	0.9718
0.3793	0.9612
0.4144	0.9514
0.444	0.9421
0.4703	0.9328
0.4926	0.9236
0.5125	0.916
0.5298	0.9079
0.5458	0.8998
0.5617	0.8929
0.5748	0.8864
0.5879	0.8798
0.5997	0.873
0.6109	0.866
0.6215	0.8601
0.6302	0.8535
0.6378	0.848
0.647	0.8425
0.6544	0.8371
0.6626	0.8317
0.6694	0.8255
0.6771	0.8213
0.6831	0.8162
0.6899	0.8116
0.696	0.8065
0.702	0.8014
0.7087	0.7966
0.7147	0.7921
0.719	0.7881
0.7246	0.7838
0.7293	0.7798
0.7334	0.7751
0.7383	0.771
0.7439	0.7658
0.7479	0.7602
0.7522	0.7552
0.7565	0.7509
0.7612	0.7468
0.7644	0.7418
0.7677	0.737
0.772	0.7331
0.7756	0.7291
0.7781	0.726
0.7813	0.7228
0.7846	0.7188
0.7889	0.7152
0.7922	0.7123
0.7953	0.7087
0.7977	0.7041
0.8004	0.701
0.8031	0.6984
0.8065	0.6957
0.8091	0.6918
0.8113	0.6877
0.8142	0.6838
0.8172	0.6809
0.8195	0.6776
0.8215	0.6741
0.8229	0.6704
0.8243	0.6674
0.8264	0.6647
0.8274	0.6612
0.8301	0.6564
0.8327	0.6538
0.8352	0.652
0.8381	0.6488
0.8403	0.6461
0.8413	0.6433
0.8425	0.6407
0.8436	0.6384
0.8452	0.6354
0.8464	0.6328
0.8479	0.6298
0.8498	0.6264
0.8507	0.6239
0.8523	0.6216
0.8542	0.6181
0.8556	0.6153
0.8578	0.6132
0.8586	0.6106
0.86	0.6085
0.8612	0.6058
0.8633	0.6027
0.8654	0.6
0.8672	0.5958
0.868	0.5928
0.8685	0.5907
0.8707	0.5879
0.8719	0.586
0.873	0.5843
0.8737	0.5818
0.8746	0.5799
0.8753	0.577
0.8762	0.5741
0.8776	0.572
0.8786	0.5698
0.8791	0.567
0.8804	0.5647
0.8823	0.5616
0.8835	0.5593
0.8834	0.5561
0.8833	0.5522
0.8836	0.5495
0.8844	0.5478
0.8845	0.5456
0.8856	0.5419
0.8863	0.54
0.8875	0.5386
0.8879	0.5366
0.8884	0.5356
0.8909	0.5324
0.8919	0.5307
0.8925	0.5286
0.8934	0.527
0.8941	0.5245
0.8952	0.5215
0.8978	0.5185
0.9021	0.5113
0.9021	0.5098
0.9019	0.5062
0.9024	0.5058
0.9037	0.5036
0.9051	0.5012
0.9057	0.4983
0.9057	0.4962
0.9059	0.4945
0.9062	0.4898
0.9062	0.4858
0.9065	0.484
0.9064	0.483
0.9068	0.4795
0.9073	0.4772
0.9077	0.4757
0.9088	0.4742
0.909	0.4721
0.9108	0.4701
0.9107	0.4668
0.9111	0.4659
0.9107	0.4623
0.9105	0.4601
0.9111	0.458
0.9115	0.4558
0.9118	0.4546
0.912	0.4505
0.9122	0.45
0.9129	0.446
0.9132	0.4445
0.9119	0.4304
0.9129	0.4209
0.914	0.4085
0.9173	0.398
0.9278	0.3876
0.9287	0.3801
0.9357	0.3673
0.9367	0.3592
0.9403	0.3525
0.938	0.342
0.9393	0.3335
0.9402	0.3273
0.9424	0.3165
0.9451	0.3104
0.9477	0.2968
0.9478	0.2912
0.9497	0.2838
0.9517	0.2786
0.9566	0.2711
0.9574	0.2661
0.9582	0.26
0.9596	0.254
0.9596	0.2464
0.9602	0.2391
0.9606	0.2326
0.9621	0.2207
0.963	0.2183
0.9619	0.2122
0.963	0.2056
0.9637	0.1995
0.9654	0.1957
0.967	0.1902
0.967	0.1859
0.9668	0.1748
0.9677	0.1708
0.9684	0.1664
0.9681	0.1626
0.9675	0.1562
0.9686	0.1507
0.9689	0.1455
0.9681	0.1431
0.9689	0.1393
0.9699	0.1323
0.9695	0.1284
0.9713	0.1229
0.9733	0.1191
0.9751	0.1137
0.975	0.1127
0.9757	0.1093
0.9761	0.1061
0.9762	0.1026
0.9763	0.102
0.9772	0.09751
0.9802	0.09616
0.9802	0.09327
0.9801	0.09207
0.9802	0.09141
0.981	0.08992
0.9816	0.08347
0.9834	0.08257
0.9836	0.08185
0.9832	0.08035
0.9831	0.07924
0.9831	0.07623
0.9831	0.0758
0.9851	0.07345
0.9876	0.0729
0.989	0.06933
0.9895	0.06854
0.9922	0.06718
0.9923	0.06592
0.9923	0.0644
0.9923	0.06361
0.9925	0.06219
0.9927	0.05977
0.9927	0.05916
0.9927	0.05916
0.9928	0.05724
0.9929	0.05326
0.9929	0.05222
0.9935	0.04943
0.9952	0.04782
0.9951	0.04666
0.9959	0.04362
0.9964	0.04298
0.9964	0.04298
0.9965	0.04175
0.9965	0.03833
0.9969	0.0373
0.997	0.0367
0.9969	0.03429
0.9975	0.03386
0.9984	0.03346
0.9984	0.03347
0.9983	0.03308
0.9983	0.03308
0.9984	0.03075
0.9984	0.03076
0.9984	0.03076
0.9984	0.03076
0.9984	0.02917
0.9984	0.02498
0.9984	0.02336
0.9987	0.02085
0.9988	0.01751
0.9987	0.01641
0.999	0.01488
0.9993	0.01357
0.9992	0.01357
0.9995	0.01261
0.9995	0.01261
0.9997	0.01211
0.9997	0.01211
0.9998	0.009961
0.9998	0.009963
1	0.008942
1	0.006965
1	0.006965
1	0.006964
1	0.006962
1	0.006968
1	0.005595
1	0.005599
1	0.004004
1	0.002994
1	0.00299
1	0.00299
1	0.002992
1	0.002993
1	0.002992
1	0.002992
1	0.002992
1	0.002991
1	0
