Precision	Recall
0.1497	0.9981
0.1497	0.9981
0.1496	0.9981
0.1497	0.9981
0.1497	0.9981
0.2108	0.9891
0.4278	0.9358
0.4794	0.9188
0.5096	0.9081
0.5399	0.8954
0.559	0.886
0.5759	0.8773
0.5915	0.8685
0.6066	0.8595
0.6199	0.8506
0.6329	0.843
0.6463	0.8346
0.6581	0.8263
0.6693	0.818
0.6773	0.81
0.686	0.8008
0.6963	0.7929
0.705	0.7847
0.7126	0.7763
0.7187	0.7698
0.7256	0.7624
0.7306	0.756
0.7374	0.7491
0.7446	0.7439
0.7493	0.7378
0.7572	0.729
0.7628	0.7231
0.7681	0.7178
0.7726	0.7112
0.7775	0.704
0.7819	0.6983
0.7872	0.6933
0.79	0.6885
0.795	0.6838
0.7987	0.6793
0.8016	0.674
0.8047	0.6679
0.8091	0.6605
0.8148	0.6539
0.8172	0.6491
0.8195	0.6431
0.8235	0.6388
0.826	0.631
0.8282	0.6247
0.8332	0.6183
0.8347	0.6123
0.8369	0.608
0.8391	0.6035
0.8442	0.5985
0.8469	0.5932
0.8499	0.5878
0.8519	0.5823
0.8545	0.5758
0.8568	0.5707
0.8588	0.5657
0.8617	0.5588
0.8644	0.5503
0.8674	0.5448
0.8693	0.5403
0.8712	0.5333
0.8755	0.5259
0.8783	0.5189
0.8803	0.5131
0.8851	0.506
0.889	0.4964
0.8904	0.4884
0.8917	0.4792
0.895	0.4721
0.8971	0.4669
0.9026	0.4603
0.9016	0.4509
0.9052	0.4433
0.908	0.4377
0.9104	0.4308
0.9113	0.4247
0.9139	0.4129
0.9197	0.4011
0.9215	0.39
0.9205	0.3777
0.9234	0.3679
0.9254	0.3587
0.9305	0.3467
0.9313	0.3307
0.9361	0.3147
0.941	0.3016
0.9505	0.285
0.9588	0.267
0.9638	0.2406
0.9677	0.2226
0.9713	0.1976
0.9768	0.1749
0.9786	0.1406
0.9843	0.1002
0.9951	0.05805
