Precision	Recall
0.2827	0.9591
0.3145	0.9542
0.3572	0.9434
0.411	0.9275
0.4694	0.9061
0.5246	0.881
0.5743	0.8551
0.6158	0.8282
0.6497	0.8013
0.6814	0.7787
0.7065	0.7532
0.7258	0.7304
0.7426	0.7111
0.759	0.6912
0.7711	0.6721
0.7826	0.6555
0.7903	0.6388
0.7979	0.6237
0.8052	0.6097
0.8118	0.5971
0.8173	0.5842
0.8266	0.5732
0.831	0.5635
0.8353	0.5543
0.8424	0.5443
0.8487	0.5331
0.8524	0.5263
0.8563	0.5179
0.8586	0.5123
0.8616	0.5035
0.8633	0.4937
0.8641	0.4863
0.8671	0.4789
0.8637	0.4716
0.8673	0.4639
0.8688	0.4543
0.8706	0.4483
0.8747	0.4437
0.8771	0.4385
0.8833	0.4341
0.884	0.4279
0.885	0.4236
0.885	0.4169
0.8888	0.4104
0.8911	0.4046
0.8923	0.3994
0.8937	0.3909
0.8943	0.3867
0.8986	0.3811
0.899	0.3781
0.9025	0.373
0.9026	0.3704
0.9044	0.3676
0.9064	0.3624
0.9088	0.3588
0.9122	0.3538
0.9117	0.3503
0.915	0.3421
0.9173	0.3365
0.9183	0.3332
0.9199	0.3297
0.9188	0.324
0.9202	0.3144
0.925	0.3093
0.926	0.3044
0.9264	0.2972
0.927	0.2953
0.9275	0.2902
0.9269	0.2863
0.93	0.2763
0.9324	0.2716
0.9335	0.2637
0.9341	0.2573
0.9348	0.2541
0.9347	0.252
0.9393	0.2487
0.9399	0.2428
0.9415	0.2371
0.9426	0.231
0.9441	0.2231
0.9442	0.2196
0.9446	0.2087
0.9436	0.2014
0.9461	0.1953
0.9488	0.1909
0.9493	0.1891
0.9517	0.1809
0.9518	0.1762
0.9548	0.1684
0.961	0.1585
0.9621	0.1526
0.9641	0.141
0.9677	0.1313
0.974	0.1164
0.9764	0.106
0.9752	0.09545
0.977	0.07804
0.9758	0.05936
0.984	0.03801
