Precision	Recall
0.000549	0.847846
0.001720	0.813742
0.003623	0.789956
0.006297	0.771944
0.009899	0.756584
0.014140	0.743803
0.019058	0.731245
0.024227	0.720879
0.029944	0.711694
0.036206	0.702473
0.042101	0.693373
0.048286	0.684634
0.054450	0.676102
0.060756	0.667261
0.067732	0.659516
0.075062	0.650687
0.081475	0.644070
0.088104	0.637563
0.093732	0.630653
0.100680	0.625311
0.107403	0.618594
0.114927	0.613667
0.121680	0.607629
0.129081	0.603774
0.135323	0.598188
0.142931	0.593798
0.150165	0.589858
0.155976	0.585340
0.163106	0.580667
0.169790	0.575113
0.174280	0.571872
0.180657	0.567763
0.185729	0.563574
0.191305	0.557784
0.196873	0.553631
0.203614	0.549267
0.208329	0.542006
0.214653	0.535579
0.221016	0.531522
0.227701	0.528320
0.232415	0.524315
0.238149	0.519722
0.243166	0.515565
0.248815	0.511988
0.254100	0.509298
0.259099	0.506007
0.264804	0.503486
0.271012	0.500650
0.276839	0.497581
0.282587	0.494574
0.288159	0.491125
0.292938	0.487780
0.299286	0.484146
0.307680	0.483362
0.312515	0.480194
0.315984	0.475884
0.323202	0.470794
0.330290	0.468463
0.333789	0.465220
0.338808	0.462456
0.342608	0.459401
0.346179	0.454697
0.351625	0.451287
0.357572	0.448911
0.362892	0.444365
0.366958	0.441758
0.372961	0.439938
0.378329	0.437418
0.381793	0.435125
0.383840	0.431670
0.388199	0.429217
0.391145	0.426745
0.398099	0.424816
0.403409	0.421236
0.406927	0.418739
0.411452	0.414480
0.414924	0.411243
0.418957	0.407544
0.424744	0.405434
0.428563	0.403132
0.435746	0.399717
0.437749	0.395763
0.440591	0.393620
0.443787	0.392248
0.449020	0.389747
0.452047	0.386669
0.456206	0.383680
0.458233	0.381137
0.460511	0.378859
0.465574	0.376287
0.466874	0.374767
0.468564	0.372538
0.470368	0.370198
0.472794	0.368625
0.473863	0.366000
0.477036	0.362492
0.481422	0.360777
0.484435	0.359681
0.487587	0.357149
0.492326	0.355916
0.497521	0.351921
0.502831	0.350285
0.509227	0.348097
0.512856	0.344534
0.515770	0.341692
0.519391	0.340131
0.523461	0.337541
0.530011	0.335073
0.533378	0.333351
0.538948	0.332377
0.539787	0.329181
0.540332	0.328075
0.543850	0.325474
0.545491	0.323306
0.546159	0.320841
0.549633	0.320079
0.552912	0.317132
0.558393	0.315282
0.560645	0.311968
0.566206	0.307658
0.566279	0.306498
0.567984	0.304781
0.569510	0.304028
0.571842	0.300070
0.577146	0.297321
0.579982	0.294542
0.581505	0.292934
0.580809	0.291079
0.581358	0.288010
0.580631	0.283506
0.581688	0.281857
0.581526	0.279693
0.585396	0.278063
0.585071	0.274070
0.586610	0.273497
0.590591	0.271774
0.590733	0.270584
0.593681	0.268958
0.595505	0.264439
0.595933	0.263444
0.596549	0.260747
0.596899	0.258853
0.600054	0.258453
0.603794	0.257471
0.604518	0.255795
0.607293	0.253902
0.606385	0.253440
0.610036	0.250709
0.614358	0.249532
0.624931	0.239552
0.635143	0.234282
0.643628	0.224086
0.660312	0.219955
0.677203	0.213708
0.689946	0.209108
0.706893	0.199653
0.712954	0.195619
